,Client_ID,ordered_boxes,ordered_volume,date,region,Center_ID,Latitude_CD,Longitude_CD,Latitude_Client,Longitude_Client,cluster_id,Assigned_CD
26335,12243062,31.0833333,2.34989999748,2025-03-13,Centro,AV04,5.807142,-73.006556,5.96101,-72.7612,5,AV04
26336,12243080,8.0,0.6048,2025-03-10,Centro,AV47,4.541264,-74.251706,4.580468733,-74.17002342,6,AV26
26337,12243106,10.5,0.7938,2025-03-20,Centro,AV06,4.946467,-73.941175,4.729640178,-74.01603912,0,AV26
26338,12243202,5.0,0.378,2025-03-28,Centro,AV04,5.807142,-73.006556,5.836104273,-73.04120379,1,AV04
26339,12244546,27.0,2.0412,2025-03-13,Centro,AV47,4.541264,-74.251706,4.60878572,-74.19590958,6,AV26
26340,12244556,19.0,1.4364,2025-03-07,Centro,AV26,4.596453,-74.148856,4.533223705,-74.0882828,6,AV26
26341,12244593,15.25,1.1529,2025-03-21,Centro,AV04,5.807142,-73.006556,5.82909,-73.0386,1,AV04
26342,12244595,32.7499999,2.47589999244,2025-03-17,Centro,AV50,4.742992,-74.164592,4.751955806,-74.12108732,0,AV50
26343,12244632,34.75,2.6271,2025-03-04,Centro,AV47,4.541264,-74.251706,4.57792,-74.1799,6,AV26
26344,12244735,12.0,0.9072,2025-03-21,Centro,AV42,5.544456,-73.352553,5.49103113,-73.48529871,4,AV42
26345,12244751,37.25,2.8161,2025-03-18,Centro,AV04,5.807142,-73.006556,5.808841932,-73.01918198,1,AV04
26346,12244767,26.0788235,1.9715590565999999,2025-03-29,Centro,AV42,5.544456,-73.352553,5.490066,-73.280833,4,AV42
26347,12244770,22.25,1.6821000000000002,2025-03-29,Centro,AV04,5.807142,-73.006556,5.697585448,-72.9476887,1,AV04
26348,12244818,42.0,3.1752000000000002,2025-03-04,Centro,AV06,4.946467,-73.941175,5.076651188,-73.87176819,9,AV06
26349,12244841,16.0833332,1.21589998992,2025-03-22,Centro,AV50,4.742992,-74.164592,4.727134784,-74.28410797,8,AV50
26350,12245021,36.127777800000004,2.73126000168,2025-03-12,Centro,AV26,4.596453,-74.148856,4.60281411,-74.15104561,6,AV26
26351,12245146,3.22,0.243432,2025-03-28,Centro,AV42,5.544456,-73.352553,5.585187032,-73.53085901,4,AV42
